,Review Description,Review Content,Date,Rating
0,['Harks back to Xian'],"['A friend took me here and wow, had some barbecued meat and some beer, it really took me back to Xian, nice and spicy and a huge menu. Very busy place but great service, great night.']",['Reviewed 19 December 2019'],['4.5']
1,"['Flavourful, Fast, Friendly Prices']",['It is one of our favourite supper joint week in week out. Their skewers starting from $1 !!! And all other dishes are so generous with ample portions. Service is always so immediate and efficient. No woder the place is crowded almost everynight.'],['Reviewed 20 November 2019'],['4.5']
2,['Visited this place multiple times'],['Awesome Chinese restaurant! Love its lamb skewers and many other dishes. You will find that this place is always packed with tourists. They have now expanded to 3 restaurants (side by side).'],['Reviewed 6 November 2019'],['4.0']
3,['Good cheap food but unhygienic'],['Very affordable food. Taste is above average for its price. However we found hair in multiple dishes. Hygiene of their staff could be improve greatly. Staff was pretty rude too by snatching cash from my hands and throw change back.'],['Reviewed 29 October 2019'],['5.0']
4,['First meal in Chinatown & great'],"['Not a real tourist place so we gave it a try and very popular & impressed. Shared plates of chilli crab (disappointed as not much crab, little sauce & way too much chilli & expensive), beef & vegetables, sweet & sour pork, greens, & steamed...More']",['Reviewed 29 September 2019'],['5.0']
5,['串串 Meal'],"['Went there with a few friends to try their 串串, still preferred BBQ box. Did not try their dishes though, might give that a try next time instead.']",['Reviewed 23 September 2019'],['4.0']
6,['This is a very Authentic Chinese restaurant. A Must when Visiting Singapore - Culture'],"[""The Resturant is located in the heart of Singapore's China town. There are options for inside or outside , street side dining , we ate inside , Air-Conditioning was excellent. The service is typically Asian style , fast and furious, all the meals are cooked...More""]",['Reviewed 18 September 2019'],['5.0']
7,['Wide Selection of Food For Everyone'],"['Had my lunch here recently. If you are bored of zichar and game for spicy food or something different, this is one place to try out. Address is in the link itself. Very yummy dishes! Skip the 手撕鸭，as it is not fantastic. The spicy fish...More']",['Reviewed 7 August 2019'],['2.0']
8,['Best authentic Chinese everywhere'],"['Packed place. We were the only Westerners. Formica tabletops. Close to neighbouring diners etc. BUT best Chinese food and one of the most memorable meals of our life. Fresh, fantastic, tasty. Helpful service. Large portions. We didn’t like the Disney-like aspects of Singapore, but walking...More']",['Reviewed 20 July 2019'],['4.0']
9,['KINDA DISAPPOINTED'],"['The Lover and I came with friends, ordered some vege, cold noodles and cold tripe, spicy fried intestines, stir fried mutton, sweet and sour pork. The cold dishes were so disappointing cos most Chinese places serve a good one which is saucy enough with the...More']",['Reviewed 22 June 2019'],['3.0']
10,['Delicious!!!'],"['We stumbled across this restaurant after taking the wrong exit out of Chinatown MRT. The restaurant was packed with locals and extremely busy, noisy and fun. After looking through the huge menu we ordered crispy chicken wings, stir-fried beef, fried rice, mushroom salad, another meal...More']",['Reviewed 26 May 2019'],['5.0']
11,['DELICIOUS FOOD WITH GENEROUS PORTION AND GOOD VALUE'],"[""Walked around the area and couldn't decide on a restaurant but after 2 rounds around the area, we were still thinking about this place offering skewers and the amount of crowd inside and outside the restaurant which is made up of 2 to 3 units...More""]",['Reviewed 8 May 2019'],['4.0']
12,['Amazing Food'],"[""Walking through Chinatown and seeing all the different food options can be a bit of a headache so we decided to give this place a go. Boy it didn't disappoint. Two noodle dishes, a serving of gyozas and two drinks for $20. We couldn't even...More""]",['Reviewed 27 April 2019'],['5.0']
13,"['My local chinese, and its great!']","[""This place isn't the smartest, isn't the cleanest, it certainly isn't the quietest but its always, always busy. The food is great, huge selection of dishes, its very cheap and it's great fun! If you don't mind the hustle and bustle, quite a lot of...More""]",['Reviewed 23 April 2019'],['3.0']
14,['Northeastern & Sichuan Chinese Cuisine'],"['Go Chinatown for dinner and decided to walk into this restaurant because saw there are a lot of people in here. If you want the original Northeastern and Sichuan food, this is the place for you. The food very delicious and the price was friendly...More']",['Reviewed 25 March 2019'],['4.5']
15,['BEST BEST BEST'],['One of the best Chinese cuisine you can find in Singapore that can feed a table of 8 with cheap dishes. The sweet fried pork is the best !!!!'],['Reviewed 1 February 2019'],['4.5']
16,['Best Chinese in years.'],['I am a chinese food junky and 2 of these dishes are some of the best I have had. Place is hard to fund as what you can see from the walkway is all in Chinese writing. If you step back off the curb you...More'],['Reviewed 29 January 2019'],['3.5']
17,['Restaurant with no name'],"[""We went to the correct address, and asked if this Oriental Chinese restaurant. No this is the 'something in Chinese'. Being sure it was the right restaurant we decided to stay. Then the road works started up on the street, what a noise, so we...More""]",['Reviewed 17 January 2019'],['4.5']
18,['The best place for Chinese at Singapore'],"['This is a place I will never want to miss out on a trip to Singapore.The food is so tasty and delicious,and value for money. The price of the dishes are pocket friendly.the chicken dish with hot dry red chilli and peppers is a must...More']",['Reviewed 15 November 2018'],['4.0']
19,['Nice Chinese Food'],['This shop is just beside Chinatown Mrt Station. They will assign accordingly to number of person. 2/4/6/8/10< They have plenty of seating spaces. Their menu is large. Need sometime to have a look at the menu and place order by writing on the ordering sheet....More'],['Reviewed 25 October 2018'],['4.5']
20,['Cheap and good'],['Cheap and good northern China food. It’s very authentic China style of cooking even the portion and presentation.'],['Reviewed 20 October 2018'],['4.0']
21,['Authentic Szechuan dishes'],"[""this is the place to come if looking for szechuan dishes. the servings are huge and really hearty. there is a huge variety, each time when I visit, we don't run out of items to try. be prepared to wait in the queue to eat...More""]",['Reviewed 7 October 2018'],['4.5']
22,['One of the worst restaurants we have visited'],"['We visited the Oriental Chinese Restaurant on our first night in Singapore. We ordered 3 dishes, one chicken, one pork fried rice and 2 chicken wings. When we started eating the chicken dish ($16.80) it was full of bone. The dish genuinely appeared to be...More']",['Reviewed 17 September 2018'],['4.5']
23,['Deliciously Tasty Dishes'],"['Went here our first evening in Singapore because it was on corner of where we where staying. Basically in Singapore, if there’s a queue of locals then it’s good. Tick. We stood in what seems a long queue but were seated pretty quick. The service...More']",['Reviewed 5 September 2018'],['4.0']
24,['Love it!'],"[""Authentic, fantastic and cheap food! No fuzz, no need for services other than taking the order and deliver the food which the do fast! Opening hours from 11 am until 0700 am - fun! No wonder it's packed with locals - they know where to...More""]",['Reviewed 16 August 2018'],['4.0']
25,['Excellent & affordable BBQ'],"['This place has a huge variety of chinese dishes, although some items are localized eg Sambal Kang Kong. We ordered some dongbei dishes and their BBQ was a hit! And the food is very affordable. Two thumbs up, but go early as the place can...More']",['Reviewed 7 August 2018'],['4.5']
26,['forget about the michelin guide in singapore!'],"['this place is serving authentic northeastern china dishes, dongbei cuisine the standard dishes in dongbei cuisine will be the dishes to order here (sorry but i forgot what are the dishes english name on their menu because it is highly inaccurate translation sometimes) , for...More']",['Reviewed 28 July 2018'],['4.5']
27,"['First Time, Interesting Spread']","['First time here and it apparently serves authentic northern Chinese cuisine, the food served was interesting and tasty, and came in generous portions.']",['Reviewed 6 July 2018'],['4.0']
28,['Great food at affordable rate'],"['Oriental offers a wide range of authentic Chinese food. Located close to Chinatown MRT, it is easily accessible. People there are very friendly. Be careful while ordering: their portions are pretty big for an affordable rate. Great place for group visits too.']",['Reviewed 19 June 2018'],['5.0']
29,['Fantastic food not matched by same service'],"['The food is to die for, especially if you like it hot (chilli). Great chilli crab, spring onion pancakes and dumplings. We have eaten there three nights in a row. Not a great service but they are extremely busy. People are waiting in a cue...More']",['Reviewed 11 April 2018'],['5.0']
30,['Pocket-friendly Surprises'],"['I have never fancy Sichuan cuisines. Before I gets ""ma"" and ""la"", I think I will be choked to death by their pungent, spicy smell hotpot broth or dishes 100m away from the entrance. I was introduced to this Oriental Chinese Restaurant (东方美食) by one...More']",['Reviewed 17 March 2018'],['5.0']
31,['My favourite restaurant in Singapore'],"[""This place is just wonderful. The food is very authentic, tastes great, huge portions and dirt cheap. I've eaten in a lot of places in Singapore, but this is one place I always go back to. Even my ultra fussy son was happy to eat...More""]",['Reviewed 15 February 2018'],['5.0']
32,['lunch after massage'],"['We were lucky to randomly have found this place after massage nearby. This place is easy to find, because it faces a big road and is packed with customers. The service is not great but they have various menu, the food is good, and the...More']",['Reviewed 14 February 2018'],['4.0']
33,['Fabulous and hot!'],"['Love this restaurant. It was packed with locals. Even so, service was fast, food was fresh and hot. Value was great! Would highly recommend a visit here. We tried the stir fried green beans with garlic and red peppers. I have no idea what they...More']",['Reviewed 13 February 2018'],['5.0']
34,['Large Portions!'],"[""I know it's almost Chinese New Year but this place was packed out busy for lunch! I got the last single table available. Quite an extensive menu of options both meat and veggie. The prices are far better than the vast majority of restaurants around...More""]",['Reviewed 27 January 2018'],['5.0']
